mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_fit_intercept,param_max_iter,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.006715536117553711,0.0014141488059800907,0.003070974349975586,0.0037480082930355547,0.1,True,100,l1,liblinear,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.7,0.8,0.8,0.8,0.7666666666666667,0.7733333333333332,0.038873012632302036,67
0.011273717880249024,0.006031615467276897,0.003827810287475586,0.0029956401287172187,0.1,True,100,l1,saga,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l1', 'solver': 'saga'}",0.8666666666666667,1.0,0.8666666666666667,0.9666666666666667,1.0,0.9400000000000001,0.06110100926607785,57
0.0031194686889648438,0.003170353259997511,0.005938339233398438,0.0032450914536206036,0.1,True,100,l2,liblinear,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.7666666666666667,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.8,0.8200000000000001,0.03399346342395189,61
0.006202220916748047,0.0022282646780375976,0.0032815933227539062,0.0040211673988985374,0.1,True,100,l2,saga,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'solver': 'saga'}",0.9666666666666667,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9666666666666668,0.029814239699997188,19
0.004268932342529297,0.002757494541009365,0.0007567405700683594,0.0009427309515612425,0.1,True,200,l1,liblinear,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 200, 'penalty': 'l1', 'solver': 'liblinear'}",0.7,0.8,0.8,0.8,0.7666666666666667,0.7733333333333332,0.038873012632302036,67
0.008466291427612304,0.0008898023543788015,0.0031815052032470705,0.003896571102854362,0.1,True,200,l1,saga,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 200, 'penalty': 'l1', 'solver': 'saga'}",0.9333333333333333,1.0,0.8666666666666667,0.9666666666666667,1.0,0.9533333333333334,0.04988876515698587,46
0.0,0.0,0.0033024311065673827,0.004064721320657023,0.1,True,200,l2,liblinear,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 200, 'penalty': 'l2', 'solver': 'liblinear'}",0.7666666666666667,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.8,0.8200000000000001,0.03399346342395189,61
0.008330965042114257,0.0005516248080561639,0.0016140460968017579,0.0032280921936035157,0.1,True,200,l2,saga,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 200, 'penalty': 'l2', 'solver': 'saga'}",0.9,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9533333333333334,0.03399346342395189,46
0.003875541687011719,0.004191395437350058,0.0016184806823730468,0.003236961364746093,0.1,True,500,l1,liblinear,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear'}",0.7,0.8,0.8,0.8,0.7666666666666667,0.7733333333333332,0.038873012632302036,67
0.019600677490234374,0.004346575217946308,0.0,0.0,0.1,True,500,l1,saga,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 500, 'penalty': 'l1', 'solver': 'saga'}",0.9333333333333333,1.0,0.9,0.9333333333333333,1.0,0.9533333333333334,0.039999999999999994,46
0.0036056041717529297,0.003660768605576085,0.0016155719757080078,0.003231143951416016,0.1,True,500,l2,liblinear,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 500, 'penalty': 'l2', 'solver': 'liblinear'}",0.7666666666666667,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.8,0.8200000000000001,0.03399346342395189,61
0.01791067123413086,0.002646035164190704,0.0043314933776855465,0.003233844523139153,0.1,True,500,l2,saga,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 500, 'penalty': 'l2', 'solver': 'saga'}",0.8666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9466666666666667,0.04521553322083511,53
0.0016103267669677734,0.003220653533935547,0.0015814781188964843,0.0031629562377929687,0.1,False,100,l1,liblinear,"{'C': 0.1, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.7,0.8,0.8,0.8,0.7666666666666667,0.7733333333333332,0.038873012632302036,67
0.004813194274902344,0.003930163622925019,0.003204202651977539,0.0039243420811967715,0.1,False,100,l1,saga,"{'C': 0.1, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'solver': 'saga'}",0.7333333333333333,0.8333333333333334,0.8,0.8333333333333334,0.8,0.8,0.03651483716701111,64
0.005039072036743164,0.0014647469870451828,0.00499415397644043,0.003457645309095676,0.1,False,100,l2,liblinear,"{'C': 0.1, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.8,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.8,0.8266666666666668,0.024944382578492942,58
0.005493593215942383,0.0020824699167361856,0.004883432388305664,0.0033931589803080702,0.1,False,100,l2,saga,"{'C': 0.1, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'solver': 'saga'}",0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9466666666666667,0.01632993161855452,53
