Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Anatomy of a Fall,tt17009710,2023,"Crime, Drama, Thriller","Director:, Justine Triet, | ,     Stars:, Sandra Hüller, , Swann Arlaud, , Milo Machado Graner, , Antoine Reinartz","A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the sole witness.",7.6,150 min,,193,
Peaky Blinders,tt2442560,2013–2022,"Crime, Drama","Stars:, Cillian Murphy, , Paul Anderson, , Sophie Rundle, , Helen McCrory","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",8.8,60 min,TV-MA,583041,
F9: The Fast Saga,tt5433138,2021,"Action, Crime, Thriller","Director:, Justin Lin, | ,     Stars:, Vin Diesel, , Michelle Rodriguez, , Jordana Brewster, , Tyrese Gibson",Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,5.2,143 min,PG-13,147686,"173,202,780"
The Wire,tt0306414,2002–2008,"Crime, Drama, Thriller","Stars:, Dominic West, , Lance Reddick, , Sonja Sohn, , Wendell Pierce","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",9.3,59 min,TV-MA,353518,
Inside Man,tt10948716,II) (2022,"Crime, Drama, Mystery","Stars:, David Tennant, , Stanley Tucci, , Dolly Wells, , Lydia West","A prisoner on death row in the US and a woman trapped in a cellar under an English vicarage, cross paths in the most unexpected way.",6.6,240 min,TV-MA,29596,
Mayans M.C.,tt5715524,2018– ,"Crime, Drama, Thriller","Stars:, Michael Irby, , Frankie Loyal, , JD Pardo, , Clayton Cardenas","Set in a post-Jax Teller world, ""Mayans MC"" sees EZ Reyes, a former golden boy now fresh out of prison, as a prospect in the Mayan MC charter on the California-Mexico border who must carve out his new outlaw identity.",7.6,60 min,TV-MA,20660,
The Godfather,tt0068646,1972,"Crime, Drama","Director:, Francis Ford Coppola, | ,     Stars:, Marlon Brando, , Al Pacino, , James Caan, , Diane Keaton","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",9.2,175 min,R,1911663,"134,966,411"
Las Vegas,tt0364828,2003–2008,"Crime, Drama","Stars:, Josh Duhamel, , James Caan, , James Lesure, , Vanessa Marcil","Welcome to the Montecito Resort and Casino in Las Vegas, where you can do anything you want, but Ed Deline and his crack surveillance team will be watching. Just remember: what happens in Vegas stays in Vegas.",7.4,60 min,TV-14,28552,
Reacher,tt9288030,2022– ,"Action, Crime, Drama","Stars:, Alan Ritchson, , Malcolm Goodwin, , Willa Fitzgerald, , Hugh Thompson",Jack Reacher was arrested for murder and now the police need his help. Based on the books by Lee Child.,8.1,49 min,TV-MA,140067,
Bones,tt0460627,2005–2017,"Comedy, Crime, Drama","Stars:, Emily Deschanel, , David Boreanaz, , Michaela Conlin, , T.J. Thyne","Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.",7.8,40 min,TV-14,166795,
Justified,tt1489428,2010–2015,"Action, Crime, Drama","Stars:, Timothy Olyphant, , Nick Searcy, , Joelle Carter, , Jacob Pitts","Enforcing his own brand of justice, US Marshal Raylan, a strong-willed, quiet law-man haunted by his past, returns to his native town to see that justice is served to those in need.",8.6,44 min,TV-MA,105682,
Happy Valley,tt3428912,2014–2023,"Crime, Drama, Thriller","Stars:, Sarah Lancashire, , Siobhan Finneran, , James Norton, , Rhys Connah",Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,8.5,58 min,TV-MA,55564,
Banshee,tt2017109,2013–2016,"Action, Crime, Drama","Stars:, Antony Starr, , Ivana Milicevic, , Ulrich Thomsen, , Frankie Faison","An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania, where he has some unfinished business.",8.4,60 min,TV-MA,110356,
Wednesday,tt13443470,2022– ,"Comedy, Crime, Fantasy","Stars:, Jenna Ortega, , Hunter Doohan, , Percy Hynes White, , Emma Myers","Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart a killing spree, and solve the mystery that embroiled her parents.",8.1,45 min,TV-14,320291,
John Wick,tt2911666,2014,"Action, Crime, Thriller","Directors:, Chad Stahelski, , David Leitch, | ,     Stars:, Keanu Reeves, , Michael Nyqvist, , Alfie Allen, , Willem Dafoe",An ex-hitman comes out of retirement to track down the gangsters who killed his dog and stole his car.,7.4,101 min,R,696147,"43,037,835"
Girl in the Basement,tt13269536,2021,"Crime, Thriller","Director:, Elisabeth Röhm, | ,     Stars:, Judd Nelson, , Stefanie Scott, , Joely Fisher, , Emma Myers","Sarah is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home.",6.3,88 min,TV-14,10340,
The Fast and the Furious,tt0232500,2001,"Action, Crime, Thriller","Director:, Rob Cohen, | ,     Stars:, Vin Diesel, , Paul Walker, , Michelle Rodriguez, , Jordana Brewster",Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.,6.8,106 min,PG-13,400754,"144,533,925"
Steeltown Murders,tt23152082,2023,"Crime, Drama, History","Stars:, Sion Alun Davies, , Steffan Rhodri, , Aneurin Barnard, , Scott Arthur","Three murders - unsolved but never forgotten. Thirty years on, can DCI Bethall find the serial killer who terrorised 1970s Port Talbot?",7.2,,,1034,
Heat,tt0113277,1995,"Action, Crime, Drama","Director:, Michael Mann, | ,     Stars:, Al Pacino, , Robert De Niro, , Val Kilmer, , Jon Voight",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,8.3,170 min,R,677319,"67,436,818"
Tulsa King,tt16358384,2022– ,"Crime, Drama","Stars:, Sylvester Stallone, , Andrea Savage, , Martin Starr, , Jay Will","Following his release from prison, Mafia capo Dwight ""The General"" Manfredi is exiled to Tulsa, Oklahoma, where he builds a new criminal empire with a group of unlikely characters.",8.1,40 min,TV-MA,54303,
Muted,tt20477492,2023,"Crime, Drama, Mystery","Stars:, Arón Piper, , Almudena Amor, , Cristina Kovani, , Aitor Luna","Sergio hasn't spoken since the day he murdered his parents. Six years later, a teen girl may be the key to revealing the whole story.",5.6,,TV-MA,2631,
You,tt7335184,2018–2024,"Crime, Drama, Romance","Stars:, Penn Badgley, , Victoria Pedretti, , Tati Gabrielle, , Ambyr Childers","A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",7.7,45 min,TV-MA,279291,
Lucifer,tt4052886,2016–2021,"Crime, Drama, Fantasy","Stars:, Tom Ellis, , Lauren German, , Kevin Alejandro, , D.B. Woodside",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,8.1,42 min,TV-14,336800,
Law & Order,tt0098844,1990– ,"Crime, Drama, Mystery","Stars:, Jerry Orbach, , Jesse L. Martin, , Dennis Farina, , Sam Waterston",A crime is tracked from two separate vantage points: the police investigation and the prosecution in court.,7.8,45 min,TV-14,41271,
Fargo,tt2802850,2014–2023,"Crime, Drama, Thriller","Stars:, Billy Bob Thornton, , Martin Freeman, , Allison Tolman, , Colin Hanks","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",8.9,53 min,TV-MA,383909,
Goodfellas,tt0099685,1990,"Biography, Crime, Drama","Director:, Martin Scorsese, | ,     Stars:, Robert De Niro, , Ray Liotta, , Joe Pesci, , Lorraine Bracco","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",8.7,145 min,R,1192930,"46,836,394"
The X-Files,tt0106179,1993–2018,"Crime, Drama, Mystery","Stars:, David Duchovny, , Gillian Anderson, , Mitch Pileggi, , William B. Davis","Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",8.6,45 min,TV-14,234743,
The Batman,tt1877830,2022,"Action, Crime, Drama","Director:, Matt Reeves, | ,     Stars:, Robert Pattinson, , Zoë Kravitz, , Jeffrey Wright, , Colin Farrell","When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",7.8,176 min,PG-13,701481,"369,345,583"
Blue Bloods,tt1595859,2010– ,"Crime, Drama, Mystery","Stars:, Donnie Wahlberg, , Bridget Moynahan, , Will Estes, , Len Cariou",Revolves around a family of New York cops.,7.7,43 min,TV-14,43595,
Candy,tt13729648,2022,"Biography, Crime, Drama","Stars:, Jessica Biel, , Melanie Lynskey, , Pablo Schreiber, , Timothy Simons","Candy Montgomery is a 1980s housewife and mother who did everything right. When the pressure of conformity builds within, her actions scream for just a bit of freedom -- until someone tells her to shush -- with deadly results.",7.2,257 min,TV-MA,20327,
The Wolf of Wall Street,tt0993846,2013,"Biography, Comedy, Crime","Director:, Martin Scorsese, | ,     Stars:, Leonardo DiCaprio, , Jonah Hill, , Margot Robbie, , Matthew McConaughey","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",8.2,180 min,R,1465095,"116,900,694"
Sons of Anarchy,tt1124373,2008–2014,"Crime, Drama, Thriller","Stars:, Charlie Hunnam, , Katey Sagal, , Mark Boone Junior, , Kim Coates",A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,8.6,45 min,TV-MA,307421,
Brooklyn Nine-Nine,tt2467372,2013–2021,"Comedy, Crime","Stars:, Andy Samberg, , Stephanie Beatriz, , Terry Crews, , Melissa Fumero","Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.",8.4,22 min,TV-14,333638,
Castle,tt1219024,2009–2016,"Comedy, Crime, Drama","Stars:, Nathan Fillion, , Stana Katic, , Susan Sullivan, , Jon Huertas","After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",8.1,43 min,TV-14,167416,
Death in Paradise,tt1888075,2011– ,"Comedy, Crime, Drama","Stars:, Elizabeth Bourgine, , Don Warrington, , Danny John-Jules, , Tobi Bakare",A Detective Inspector is transferred from London to the Caribbean island of Saint-Marie to investigate and solve complex murders.,7.8,60 min,TV-PG,24304,
The Dark Knight,tt0468569,2008,"Action, Crime, Drama","Director:, Christopher Nolan, | ,     Stars:, Christian Bale, , Heath Ledger, , Aaron Eckhart, , Michael Caine","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9.0,152 min,PG-13,2721277,"534,858,444"
Asur: Welcome to Your Dark Side,tt11912196,2020– ,"Crime, Drama, Mystery","Stars:, Arshad Warsi, , Barun Sobti, , Riddhi Dogra, , Anupriya Goenka","Shubh returns for revenge and this season he takes the challenge to a whole new level. With the heroes fallen apart, will a desolate Dhananjay Rajpoot and a torn Nikhil Nair be able to stop him?",8.5,43 min,,48279,
Class of '09,tt14903834,2023,"Crime, Drama, Thriller","Stars:, Brian Tyree Henry, , Brian J. Smith, , Isaiah Stratton, , Phil Armijo",FBI agents who graduated from Quantico in 2009 are reunited following the death of a mutual friend.,6.4,,TV-MA,1449,
