Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Grease,tt0077631,1978,"Comedy, Musical, Romance","Director:, Randal Kleiser, | ,     Stars:, John Travolta, , Olivia Newton-John, , Stockard Channing, , Jeff Conaway","Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",7.2,110 min,PG,287240,"188,755,690"
The Wizard of Oz,tt0032138,1939,"Adventure, Family, Fantasy","Directors:, Victor Fleming, , George Cukor, , Mervyn LeRoy, , Norman Taurog, , Richard Thorpe, , King Vidor, | ,     Stars:, Judy Garland, , Frank Morgan, , Ray Bolger, , Bert Lahr","Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",8.1,102 min,PG,410741,"2,076,020"
The Muppets Mayhem,tt18545980,2023– ,"Comedy, Family, Music","Stars:, Lilly Singh, , Dave Goelz, , Eric Jacobson, , Leslie Carrara-Rudolph",Follow The Muppets' band as they try to record their first ever album.,8.1,,TV-PG,1108,
Les Misérables,tt1707386,2012,"Drama, Musical, Romance","Director:, Tom Hooper, | ,     Stars:, Hugh Jackman, , Russell Crowe, , Anne Hathaway, , Amanda Seyfried","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",7.5,158 min,PG-13,336706,"148,809,770"
Hamilton,tt8503618,2020,"Biography, Drama, History","Director:, Thomas Kail, | ,     Stars:, Lin-Manuel Miranda, , Phillipa Soo, , Leslie Odom Jr., , Renée Elise Goldsberry","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",8.4,160 min,PG-13,101696,
Mamma Mia!,tt0795421,2008,"Comedy, Musical, Romance","Director:, Phyllida Lloyd, | ,     Stars:, Meryl Streep, , Pierce Brosnan, , Amanda Seyfried, , Stellan Skarsgård",The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.,6.5,108 min,PG-13,256930,"144,130,063"
Charlie and the Chocolate Factory,tt0367594,2005,"Adventure, Comedy, Family","Director:, Tim Burton, | ,     Stars:, Johnny Depp, , Freddie Highmore, , David Kelly, , Helena Bonham Carter","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",6.7,115 min,PG,497274,"206,459,076"
The Little Mermaid II: Return to the Sea,tt0240684,2000 Video,"Animation, Adventure, Comedy","Directors:, Jim Kammerud, , Brian Smith, , Bill Speers, | ,     Stars:, Tara Strong, , Pat Carroll, , Jodi Benson, , Samuel E. Wright","To protect her from a sea witch, Ariel's daughter is not allowed in the ocean; but when she becomes 12, she runs away to an adventure under the sea.",5.5,75 min,G,20911,
West Side Story,tt0055614,1961,"Crime, Drama, Musical","Directors:, Jerome Robbins, , Robert Wise, | ,     Stars:, Natalie Wood, , George Chakiris, , Richard Beymer, , Russ Tamblyn","Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",7.6,153 min,Approved,117517,"43,656,822"
Frozen,tt2294629,I) (2013,"Animation, Adventure, Comedy","Directors:, Chris Buck, , Jennifer Lee, | ,     Stars:, Kristen Bell, , Idina Menzel, , Jonathan Groff, , Josh Gad","When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",7.4,102 min,PG,639989,"400,738,009"
Hercules,tt0119282,1997,"Animation, Adventure, Comedy","Directors:, Ron Clements, , John Musker, | ,     Stars:, Tate Donovan, , Susan Egan, , James Woods, , Barbara Barrie",The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,7.3,93 min,G,241424,"99,046,791"
Aladdin,tt0103639,1992,"Animation, Adventure, Comedy","Directors:, Ron Clements, , John Musker, | ,     Stars:, Scott Weinger, , Robin Williams, , Linda Larkin, , Jonathan Freeman",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,8.0,90 min,G,437605,"217,350,219"
Tangled,tt0398286,2010,"Animation, Adventure, Comedy","Directors:, Nathan Greno, , Byron Howard, | ,     Stars:, Mandy Moore, , Zachary Levi, , Donna Murphy, , Ron Perlman","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",7.7,100 min,PG,469818,"200,821,936"
Willy Wonka & the Chocolate Factory,tt0067992,1971,"Family, Fantasy, Musical","Director:, Mel Stuart, | ,     Stars:, Gene Wilder, , Jack Albertson, , Peter Ostrum, , Roy Kinnear",A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,7.8,100 min,G,209520,"4,000,000"
West Side Story,tt3581652,2021,"Crime, Drama, Musical","Director:, Steven Spielberg, | ,     Stars:, Ansel Elgort, , Rachel Zegler, , Ariana DeBose, , David Alvarez","An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.",7.2,156 min,PG-13,88614,
Beauty and the Beast,tt0101414,1991,"Animation, Family, Fantasy","Directors:, Gary Trousdale, , Kirk Wise, | ,     Stars:, Paige O'Hara, , Robby Benson, , Jesse Corti, , Rex Everhart",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,8.0,84 min,G,464909,"218,967,620"
Roald Dahl's Matilda the Musical,tt3447590,2022,"Comedy, Drama, Family","Director:, Matthew Warchus, | ,     Stars:, Alisha Weir, , Emma Thompson, , Lashana Lynch, , Stephen Graham","An adaptation of the Tony and Olivier award-winning musical. Matilda tells the story of an extraordinary girl who, armed with a sharp mind and a vivid imagination, dares to take a stand to change her story with miraculous results.",7.1,117 min,PG,23111,
