Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Tetris,tt12758060,2023,"Biography, Drama, History","Director:, Jon S. Baird, | ,     Stars:, Taron Egerton, , Mara Huf, , Miles Barrow, , Rick Yune","The story of how one of the world's most popular video games found its way to players around the globe. Businessman Henk Rogers and Tetris inventor Alexey Pajitnov join forces in the USSR, risking it all to bring Tetris to the masses.",7.4,118 min,R,52230,
She Said,tt14807308,2022,"Drama, History","Director:, Maria Schrader, | ,     Stars:, Lola Petticrew, , Katherine Laheen, , Zoe Kazan, , Carey Mulligan",New York Times reporters Megan Twohey and Jodi Kantor break one of the most important stories in a generation - a story that helped ignite a movement and shattered decades of silence around the subject of sexual assault in Hollywood.,7.2,129 min,R,28455,
Chernobyl,tt7366338,2019,"Drama, History, Thriller","Stars:, Jessie Buckley, , Jared Harris, , Stellan Skarsgård, , Adam Nagaitis","In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.",9.4,330 min,TV-MA,799303,
Perry Mason,tt2077823,2020– ,"Crime, Drama, History","Stars:, Matthew Rhys, , Juliet Rylance, , Chris Chalk, , Shea Whigham","In booming 1932 Los Angeles, a down-and-out defense attorney takes on the case of a lifetime.",7.6,60 min,TV-MA,26348,
Tombstone,tt0108358,1993,"Biography, Drama, History","Directors:, George P. Cosmatos, , Kevin Jarre, | ,     Stars:, Kurt Russell, , Val Kilmer, , Sam Elliott, , Bill Paxton","A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",7.8,130 min,R,156159,"56,505,065"
Bheed,tt15680228,2023,"Drama, History","Director:, Anubhav Sinha, | ,     Stars:, Rajkummar Rao, , Pankaj Kapur, , Bhumi Pednekar, , Aditya Srivastav",The toughest times people had to face just to reach their homes.,7.5,124 min,,10370,
Schindler's List,tt0108052,1993,"Biography, Drama, History","Director:, Steven Spielberg, | ,     Stars:, Liam Neeson, , Ralph Fiennes, , Ben Kingsley, , Caroline Goodall","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",9.0,195 min,R,1386320,"96,898,818"
Caligula,tt0080491,1979,"Drama, History","Director:, Tinto Brass, | ,     Stars:, Malcolm McDowell, , Peter O'Toole, , Helen Mirren, , Teresa Ann Savoy","A dramatization of the ascent to Caesar and subsequent reign of Caligula, one of the most notorious leaders of ancient Rome. We see his ambition, his scheming, his perversion and decadence, his brutality and his lunacy.",5.3,156 min,Unrated,37076,"23,438,120"
The Chosen,tt9471404,2017– ,"Drama, History","Stars:, Shahar Isaac, , Jonathan Roumie, , Paras Patel, , Elizabeth Tabish",A charismatic fisherman struggling with debt. A troubled woman wrestling with demons. A gifted accountant ostracised from his family and people. In this ground-breaking first season of The Chosen see how Jesus reaches each of these and more as He works His first miracles and embarks on His ministry to change the world. See Him through the eyes of those who knew Him.,9.3,54 min,TV-PG,37270,
The Northman,tt11138512,2022,"Action, Adventure, Drama","Director:, Robert Eggers, | ,     Stars:, Alexander Skarsgård, , Nicole Kidman, , Claes Bang, , Ethan Hawke",A young Viking prince is on a quest to avenge his father's murder.,7.0,137 min,R,228668,"34,233,110"
The Woman King,tt8093700,2022,"Action, Drama, History","Director:, Gina Prince-Bythewood, | ,     Stars:, Viola Davis, , Thuso Mbedu, , Lashana Lynch, , Sheila Atim","A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries.",6.9,135 min,PG-13,61944,"67,328,130"
Sound of Freedom,tt7599146,2022,"Action, Biography, Drama","Director:, Alejandro Monteverde, | ,     Stars:, Jim Caviezel, , Mira Sorvino, , Kurt Fuller, , Bill Camp",The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from sex traffickers.,8.4,135 min,PG-13,547,
Deadwood,tt0348914,2004–2006,"Crime, Drama, History","Stars:, Timothy Olyphant, , Ian McShane, , Molly Parker, , Brad Dourif","A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",8.6,55 min,TV-MA,111543,
Amsterdam,tt10304142,2022,"Comedy, Drama, History","Director:, David O. Russell, | ,     Stars:, Christian Bale, , Margot Robbie, , John David Washington, , Alessandro Nivola","In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history.",6.1,134 min,R,77670,
The Last Kingdom: Seven Kings Must Die,tt15767808,2023,"Action, Drama, History","Director:, Edward Bazalgette, | ,     Stars:, Mark Rowley, , Pekka Strang, , Zoltan Andrasi, , Ingrid García Jonsson","In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",6.9,111 min,TV-MA,26764,
