Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
The Vampire Diaries,tt1405406,2009–2017,"Drama, Fantasy, Horror","Stars:, Nina Dobrev, , Paul Wesley, , Ian Somerhalder, , Kat Graham","The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.",7.7,43 min,TV-14,331854,
Titans,tt1043813,I) (2018–2023,"Action, Adventure, Crime","Stars:, Brenton Thwaites, , Anna Diop, , Ryan Potter, , Teagan Croft","Dick and Rachel, a girl possessed by a strange darkness, get embroiled in a conspiracy that could bring Hell on Earth. Joining them along the way are the hot-headed Starfire and lovable Beast Boy. Together they become a team of heroes.",7.5,45 min,TV-MA,106612,
Bhediya,tt14099334,2022,"Comedy, Fantasy, Horror","Director:, Amar Kaushik, | ,     Stars:, Varun Dhawan, , Kriti Sanon, , Abhishek Banerjee, , Deepak Dobriyal","Set in the forests of Arunachal, Bhediya is a story of Bhaskar, a man who gets bitten by a wolf, and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns, and laughs ensue.",7.0,156 min,Not Rated,18566,
Ghosts,tt11379026,2021– ,"Comedy, Fantasy","Stars:, Rose McIver, , Utkarsh Ambudkar, , Brandon Scott Jones, , Danielle Pinnock","A young couple's dreams come true when they inherit a beautiful country house, only to find it's both falling apart and inhabited by many of the deceased previous residents.",7.9,,TV-PG,22951,
Buffy the Vampire Slayer,tt0118276,1997–2003,"Action, Drama, Fantasy","Stars:, Sarah Michelle Gellar, , Nicholas Brendon, , Alyson Hannigan, , Anthony Head","A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends.",8.3,44 min,TV-14,152515,
Thor: Love and Thunder,tt10648342,2022,"Action, Adventure, Comedy","Director:, Taika Waititi, | ,     Stars:, Chris Hemsworth, , Natalie Portman, , Christian Bale, , Tessa Thompson","Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",6.2,118 min,PG-13,364798,"343,256,830"
The Lord of the Rings: The Rings of Power,tt7631058,2022– ,"Action, Adventure, Drama","Stars:, Morfydd Clark, , Ismael Cruz Cordova, , Charlie Vickers, , Markella Kavenagh","Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth.",7.0,,TV-14,331993,
Shadow and Bone,tt2403776,2021– ,"Action, Adventure, Drama","Stars:, Jessie Mei Li, , Ben Barnes, , Archie Renaux, , Freddy Carter",Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,7.6,60 min,TV-14,105612,
Violent Night,tt12003946,2022,"Action, Comedy, Crime","Director:, Tommy Wirkola, | ,     Stars:, David Harbour, , John Leguizamo, , Beverly D'Angelo, , Alex Hassell","When a group of mercenaries attack the estate of a wealthy family, Santa Claus must step in to save the day (and Christmas).",6.7,112 min,R,71905,
Star Wars: The Clone Wars,tt0458290,2008–2020,"Animation, Action, Adventure","Stars:, Tom Kane, , Dee Bradley Baker, , Matt Lanter, , James Arnold Taylor",Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,8.4,23 min,TV-PG,107266,
Once Upon a Time,tt1843230,2011–2018,"Adventure, Fantasy, Romance","Stars:, Ginnifer Goodwin, , Jennifer Morrison, , Lana Parrilla, , Robert Carlyle",A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,7.7,60 min,TV-PG,229678,
The Lord of the Rings: The Fellowship of the Ring,tt0120737,2001,"Action, Adventure, Drama","Director:, Peter Jackson, | ,     Stars:, Elijah Wood, , Ian McKellen, , Orlando Bloom, , Sean Bean",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,8.8,178 min,PG-13,1917393,"315,544,750"
