Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Peter Pan & Wendy,tt5635026,2023,"Action, Adventure, Comedy","Director:, David Lowery, | ,     Stars:, Alexander Molony, , Ever Anderson, , Jude Law, , Alyssa Wapanatâhk","Follow the adventures of Peter Pan, a boy who does not want to grow up, and how he recruits three siblings in London, and together they embark on a magical adventure on the enchanted island of Neverland.",4.4,106 min,PG,22793,
You,tt7335184,2018–2024,"Crime, Drama, Romance","Stars:, Penn Badgley, , Victoria Pedretti, , Tati Gabrielle, , Ambyr Childers","A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",7.7,45 min,TV-MA,279293,
Superman & Lois,tt11192306,2021– ,"Action, Adventure, Drama","Stars:, Tyler Hoechlin, , Elizabeth Tulloch, , Alex Garfin, , Erik Valdez","The world's most famous superhero and comic books' most famous journalist face the pressures and complexities that come with balancing work, justice, and parenthood in today's society.",7.8,42 min,TV-PG,35804,
Love Again,tt10276482,I) (2023,"Comedy, Drama, Romance","Director:, Jim Strouse, | ,     Stars:, Priyanka Chopra Jonas, , Sam Heughan, , Céline Dion, , Sofia Barclay","A young woman tries to ease the pain of her fiancé's death by sending romantic texts to his old cell phone number, and forms a connection with the man the number has been reassigned to.",5.8,104 min,PG-13,4175,
How I Met Your Mother,tt0460649,2005–2014,"Comedy, Drama, Romance","Stars:, Josh Radnor, , Jason Segel, , Cobie Smulders, , Neil Patrick Harris",A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,8.3,22 min,TV-14,701708,
Castle,tt1219024,2009–2016,"Comedy, Crime, Drama","Stars:, Nathan Fillion, , Stana Katic, , Susan Sullivan, , Jon Huertas","After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",8.1,43 min,TV-14,167417,
That '70s Show,tt0165598,1998–2006,"Comedy, Drama, Romance","Stars:, Topher Grace, , Laura Prepon, , Mila Kunis, , Danny Masterson","A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin.",8.1,22 min,TV-14,183059,
The Vampire Diaries,tt1405406,2009–2017,"Drama, Fantasy, Horror","Stars:, Nina Dobrev, , Paul Wesley, , Ian Somerhalder, , Kat Graham","The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.",7.7,43 min,TV-14,331859,
And Just Like That...,tt13819960,2021– ,"Comedy, Drama, Romance","Stars:, Sarah Jessica Parker, , Cynthia Nixon, , Kristin Davis, , Sara Ramirez","The series follows Carrie, Miranda, and Charlotte as they navigate the journey from the complicated reality of life and friendship in their 30s to the even more complicated reality of life and friendship in their 50s.",5.7,40 min,TV-MA,29592,
Daisy Jones & The Six,tt8749198,2023,"Drama, Music, Romance","Stars:, Riley Keough, , Sam Claflin, , Camila Morrone, , Suki Waterhouse",Following the rise of rock band Daisy Jones and The Six through the 1970s Los Angeles music scene on their quest for worldwide icon status.,8.1,49 min,TV-MA,26548,
