Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
American Horror Story,tt1844624,2011– ,"Drama, Horror, Sci-Fi","Stars:, Lady Gaga, , Kathy Bates, , Angela Bassett, , Sarah Paulson","An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, a bleak beach town and desert valley, and NYC.",8.0,60 min,TV-MA,327584,
The Menu,tt9764362,2022,"Comedy, Horror, Thriller","Director:, Mark Mylod, | ,     Stars:, Ralph Fiennes, , Anya Taylor-Joy, , Nicholas Hoult, , Hong Chau","A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",7.2,107 min,R,319957,
Malum,tt9472334,2023,"Drama, Horror, Thriller","Director:, Anthony DiBlasi, | ,     Stars:, Jessica Sula, , Natalie Victoria, , Sam Brooks, , Candice Coke",A rookie police officer willingly takes the last shift at a newly decommissioned police station in an attempt to uncover the mysterious connection between her father's death and a vicious cult.,5.2,92 min,,1650,
Pearl,tt18925334,2022,"Drama, Horror, Thriller","Director:, Ti West, | ,     Stars:, Mia Goth, , David Corenswet, , Tandi Wright, , Matthew Sunderland","In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation and lovelessness of life on her parents' farm.",7.0,103 min,R,59469,
Nefarious,tt14537248,II) (2023,"Horror, Thriller","Directors:, Chuck Konzelman, , Cary Solomon, | ,     Stars:, Sean Patrick Flanery, , Jordan Belfi, , James Healy Jr., , Robert Peters","On the day of his scheduled execution, a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon, and further claims that before their time is over, the psychiatrist will commit three murders of his own.",6.5,97 min,R,4872,
The Vampire Diaries,tt1405406,2009–2017,"Drama, Fantasy, Horror","Stars:, Nina Dobrev, , Paul Wesley, , Ian Somerhalder, , Kat Graham","The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.",7.7,43 min,TV-14,331854,
Midsommar,tt8772262,2019,"Drama, Horror, Mystery","Director:, Ari Aster, | ,     Stars:, Florence Pugh, , Jack Reynor, , Vilhelm Blomgren, , William Jackson Harper",A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,7.1,148 min,R,352844,"27,331,977"
Bhediya,tt14099334,2022,"Comedy, Fantasy, Horror","Director:, Amar Kaushik, | ,     Stars:, Varun Dhawan, , Kriti Sanon, , Abhishek Banerjee, , Deepak Dobriyal","Set in the forests of Arunachal, Bhediya is a story of Bhaskar, a man who gets bitten by a wolf, and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns, and laughs ensue.",7.0,156 min,Not Rated,18566,
Knock at the Cabin,tt15679400,2023,"Horror, Mystery, Thriller","Director:, M. Night Shyamalan, | ,     Stars:, Dave Bautista, , Jonathan Groff, , Ben Aldridge, , Nikki Amuka-Bird","While vacationing, a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse.",6.1,100 min,R,77555,
Nope,tt10954984,2022,"Horror, Mystery, Sci-Fi","Director:, Jordan Peele, | ,     Stars:, Daniel Kaluuya, , Keke Palmer, , Brandon Perea, , Michael Wincott",The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.,6.8,130 min,R,230759,"123,277,080"
American Psycho,tt0144084,2000,"Crime, Drama, Horror","Director:, Mary Harron, | ,     Stars:, Christian Bale, , Justin Theroux, , Josh Lucas, , Bill Sage","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",7.6,102 min,R,657227,"15,070,285"
Smile,tt15474916,V) (2022,"Horror, Mystery, Thriller","Director:, Parker Finn, | ,     Stars:, Sosie Bacon, , Jessie T. Usher, , Kyle Gallner, , Robin Weigert","After witnessing a bizarre, traumatic incident involving a patient, a psychiatrist becomes increasingly convinced she is being threatened by an uncanny entity.",6.5,115 min,R,129290,
M3GAN,tt8760708,2022,"Horror, Sci-Fi, Thriller","Director:, Gerard Johnstone, | ,     Stars:, Allison Williams, , Violet McGraw, , Ronny Chieng, , Amie Donald",A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.,6.4,102 min,PG-13,105063,"93,883,550"
Scream,tt11245972,I) (2022,"Horror, Mystery, Thriller","Directors:, Matt Bettinelli-Olpin, , Tyler Gillett, | ,     Stars:, Neve Campbell, , Courteney Cox, , David Arquette, , Melissa Barrera","25 years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past.",6.3,114 min,R,137541,"81,641,405"
Terrifier 2,tt10403420,2022,Horror,"Director:, Damien Leone, | ,     Stars:, Lauren LaVera, , David Howard Thornton, , Elliott Fullam, , Sarah Voigt","After being resurrected by a sinister entity, Art the Clown returns to the timid town of Miles County where he targets a teenage girl and her younger brother on Halloween night.",6.1,138 min,Not Rated,35684,
Inside No. 9,tt2674806,2014– ,"Comedy, Crime, Drama","Stars:, Reece Shearsmith, , Steve Pemberton, , Derek Jacobi, , Aimee-Ffion Edwards","Genre-mixing anthology series, inviting viewers into some very different and enigmatic No. 9s.",8.5,30 min,TV-MA,18267,
Barbarian,tt15791034,2022,"Horror, Mystery, Thriller","Director:, Zach Cregger, | ,     Stars:, Georgina Campbell, , Bill Skarsgård, , Justin Long, , Matthew Patrick Davis",A woman staying at an Airbnb discovers that the house she has rented is not what it seems.,7.0,102 min,R,149211,
The Sandman,tt1751634,2022– ,"Drama, Fantasy, Horror","Stars:, Tom Sturridge, , Boyd Holbrook, , Patton Oswalt, , Vivienne Acheampong","Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.",7.7,45 min,TV-MA,157761,
It,tt1396484,I) (2017,Horror,"Director:, Andy Muschietti, | ,     Stars:, Bill Skarsgård, , Jaeden Martell, , Finn Wolfhard, , Sophia Lillis","In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",7.3,135 min,R,570144,"327,481,748"
