Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
CODA,tt10366460,2021,"Comedy, Drama, Music","Director:, Sian Heder, | ,     Stars:, Emilia Jones, , Marlee Matlin, , Troy Kotsur, , Daniel Durant","As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.",8.0,111 min,PG-13,146486,
Pitch Perfect 2,tt2848292,2015,"Comedy, Music","Director:, Elizabeth Banks, | ,     Stars:, Anna Kendrick, , Rebel Wilson, , Hailee Steinfeld, , Brittany Snow","After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.",6.4,115 min,PG-13,163491,"184,296,230"
Baby Driver,tt3890160,2017,"Action, Crime, Drama","Director:, Edgar Wright, | ,     Stars:, Ansel Elgort, , Jon Bernthal, , Jon Hamm, , Eiza González","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",7.6,113 min,R,567479,"107,825,862"
Bohemian Rhapsody,tt1727824,2018,"Biography, Drama, Music","Director:, Bryan Singer, | ,     Stars:, Rami Malek, , Lucy Boynton, , Gwilym Lee, , Ben Hardy","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",7.9,134 min,PG-13,556612,"216,428,042"
Coco,tt2380307,I) (2017,"Animation, Adventure, Comedy","Directors:, Lee Unkrich, , Adrian Molina, | ,     Stars:, Anthony Gonzalez, , Gael García Bernal, , Benjamin Bratt, , Alanna Ubach","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",8.4,105 min,PG,535446,"209,726,015"
School of Rock,tt0332379,2003,"Comedy, Music","Director:, Richard Linklater, | ,     Stars:, Jack Black, , Mike White, , Joan Cusack, , Adam Pascal","After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band.",7.2,109 min,PG-13,316710,"81,261,177"
Vengeance,tt11976532,II) (2022,"Comedy, Music, Mystery","Director:, B.J. Novak, | ,     Stars:, B.J. Novak, , Boyd Holbrook, , Lio Tipton, , Ashton Kutcher",A writer from New York City attempts to solve the murder of a girl he hooked up with and travels down south to investigate the circumstances of her death and discover what happened to her.,6.8,107 min,R,27482,
Weird: The Al Yankovic Story,tt17076046,2022,"Comedy, Crime, Music","Director:, Eric Appel, | ,     Stars:, Diedrich Bader, , Daniel Radcliffe, , Lin-Manuel Miranda, , Richard Aaron Anderson","Explores every facet of Yankovic's life, from his meteoric rise to fame with early hits like 'Eat It' and 'Like a Surgeon' to his torrid celebrity love affairs and famously depraved lifestyle.",6.9,108 min,TV-14,29655,
Dirty Dancing,tt0092890,I) (1987,"Drama, Music, Romance","Director:, Emile Ardolino, | ,     Stars:, Patrick Swayze, , Jennifer Grey, , Jerry Orbach, , Cynthia Rhodes","Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle.",7.0,100 min,PG-13,242878,"622,968"
Saturday Night Live,tt0072562,1975– ,"Comedy, Music","Stars:, The Saturday Night Live Band, , Don Pardo, , Darrell Hammond, , Lenny Pickett",A famous guest host stars in parodies and sketches created by the cast of this witty show.,8.0,90 min,TV-14,50566,
Sister Act 2: Back in the Habit,tt0108147,1993,"Comedy, Family, Music","Director:, Bill Duke, | ,     Stars:, Whoopi Goldberg, , Kathy Najimy, , Maggie Smith, , Barnard Hughes",Showgirl Deloris Van Cartier returns as Sister Mary Clarence to teach music to a group of Catholic students whose run-down school is slated for closure.,5.7,107 min,PG,56238,"57,319,029"
Chevalier,tt12758486,2022,"Biography, Drama, History","Director:, Stephen Williams, | ,     Stars:, Kelvin Harrison Jr., , Samara Weaving, , Lucy Boynton, , Ronke Adekoluejo","Based on the true story of composer Joseph Bologne, Chevalier de Saint-Georges, the illegitimate son of an African slave and a French plantation owner, who rises to heights in French society as a composer before an ill-fated love affair.",6.9,108 min,PG-13,1494,
Amadeus,tt0086879,1984,"Biography, Drama, Music","Director:, Milos Forman, | ,     Stars:, F. Murray Abraham, , Tom Hulce, , Elizabeth Berridge, , Roy Dotrice","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",8.4,160 min,R,410001,"51,973,029"
A Star Is Born,tt1517451,2018,"Drama, Music, Romance","Director:, Bradley Cooper, | ,     Stars:, Lady Gaga, , Bradley Cooper, , Sam Elliott, , Greg Grunberg",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,7.6,136 min,R,398007,"215,288,866"
Rio,tt1436562,2011,"Animation, Adventure, Comedy","Director:, Carlos Saldanha, | ,     Stars:, Jesse Eisenberg, , Anne Hathaway, , George Lopez, , Karen Disher","When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams.",6.9,96 min,G,237152,"143,619,809"
Footloose,tt0087277,1984,"Drama, Music, Romance","Director:, Herbert Ross, | ,     Stars:, Kevin Bacon, , Lori Singer, , John Lithgow, , Dianne Wiest","A city teenager moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace.",6.6,107 min,PG,85901,"80,035,402"
Hollywood Canteen,tt0036922,1944,"Comedy, Music, Romance","Director:, Delmer Daves, | ,     Stars:, Bette Davis, , John Garfield, , The Andrews Sisters, , Jack Benny","Two soldiers on leave spend three nights at a club offering free of charge food, dancing, and entertainment for servicemen on their way overseas. Club founders Bette Davis and John Garfield give talks on the history of the place.",7.0,124 min,Passed,2405,
8 Mile,tt0298203,2002,"Drama, Music","Director:, Curtis Hanson, | ,     Stars:, Eminem, , Brittany Murphy, , Kim Basinger, , Mekhi Phifer","Follows a young rapper in the Detroit area, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.",7.2,110 min,R,302675,"116,724,075"
Soul,tt2948372,2020,"Animation, Adventure, Comedy","Directors:, Pete Docter, , Kemp Powers, | ,     Stars:, Jamie Foxx, , Tina Fey, , Graham Norton, , Rachel House","After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",8.0,100 min,PG,346065,
Eurovision Song Contest: The Story of Fire Saga,tt8580274,2020,"Comedy, Music","Director:, David Dobkin, | ,     Stars:, Will Ferrell, , Rachel McAdams, , Dan Stevens, , Mikael Persbrandt","When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.",6.5,123 min,PG-13,98239,
