Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
The Mother,tt6968614,2023,"Action, Thriller","Director:, Niki Caro, | ,     Stars:, Jennifer Lopez, , Lucy Paez, , Omari Hardwick, , Joseph Fiennes","While fleeing from dangerous assailants, an assassin comes out of hiding to protect the daughter she left earlier in life.",5.6,115 min,R,32463,
The Last of Us,tt3581920,2023– ,"Action, Adventure, Drama","Stars:, Pedro Pascal, , Bella Ramsey, , Anna Torv, , Lamar Johnson","After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.",8.8,50 min,TV-MA,417847,
Stranger Things,tt4574334,2016–2024,"Drama, Fantasy, Horror","Stars:, Millie Bobby Brown, , Finn Wolfhard, , Winona Ryder, , David Harbour","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",8.7,51 min,TV-14,1245804,
The Night Agent,tt13918776,2023– ,"Action, Drama, Thriller","Stars:, Gabriel Basso, , Luciane Buchanan, , Fola Evans-Akingbola, , Sarah Desjardins","Low-level FBI agent Peter Sutherland works in the basement of the White House manning a phone that never rings - until the night it does, propelling him into a conspiracy that leads all the way to the Oval Office.",7.5,45 min,TV-MA,78883,
Fake Profile,tt14494938,2023– ,"Drama, Romance, Thriller","Stars:, Carolina Miranda, , Rodolfo Salas, , Juanse Díez, , Manuela González","Camila creates a sexy profile on the online dating app Spice looking for the man of her dreams. But her dreams quickly turn into nightmares, and Camila ends up falling into a web of sex, lies, and deception.",5.8,,TV-MA,978,
Fatal Attraction,tt14351748,2023– ,"Drama, Thriller","Stars:, Joshua Jackson, , Lizzy Caplan, , Amanda Peet, , Toby Huss","A deep-dive reimagining of the classic 80's thriller, exploring timeless themes of marriage and infidelity through the lens of modern attitudes toward strong women, personality disorders and coercive control.",6.3,,TV-MA,2688,
Demon Slayer: Kimetsu no Yaiba,tt9335498,2019– ,"Animation, Action, Adventure","Stars:, Natsuki Hanae, , Zach Aguilar, , Akari Kitô, , Abby Trott","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",8.7,24 min,TV-MA,121051,
Tin & Tina,tt7354440,2023,"Horror, Mystery, Thriller","Director:, Rubin Stein, | ,     Stars:, Milena Smit, , Jaime Lorente, , Carlos González Morollón, , Anastasia Russo","After a tragic abort, Lola and her husband Adolfo adopt Tin and Tina, two lovely brother and sister with an ultra-catholic education that makes them interpret Holy Bible verbatim.",4.7,119 min,,2830,
The Black Demon,tt10279472,2023,"Horror, Sci-Fi, Thriller","Director:, Adrian Grunberg, | ,     Stars:, Omar Chaparro, , Bolivar Sanchez, , Carlos Solórzano, , Josh Lucas","Stranded on a crumbling rig in Baja, a family faces off against a vengeful megalodon shark.",3.7,100 min,R,2019,
Manifest,tt8421350,2018–2023,"Drama, Mystery, Sci-Fi","Stars:, Melissa Roxburgh, , Josh Dallas, , J.R. Ramirez, , Luna Blaise","When a commercial airliner suddenly reappears after being missing for five years, those aboard must reintegrate into society.",7.1,43 min,TV-14,74794,
S.W.A.T.,tt6111130,2017–2023,"Action, Adventure, Crime","Stars:, Shemar Moore, , Alex Russell, , Kenny Johnson, , Jay Harrington",Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.,7.2,43 min,TV-14,27214,
Jack Ryan,tt5057054,2018–2023,"Action, Drama, Thriller","Stars:, John Krasinski, , Wendell Pierce, , Michael Kelly, , Abbie Cornish","Up-and-coming CIA analyst, Jack Ryan, is thrust into dangerous field assignments.",8.0,60 min,TV-MA,149596,
Supernatural,tt0460681,2005–2020,"Drama, Fantasy, Horror","Stars:, Jared Padalecki, , Jensen Ackles, , Jim Beaver, , Misha Collins","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.",8.4,44 min,TV-14,459574,
To Catch a Killer,tt10275534,2023,"Action, Crime, Drama","Director:, Damián Szifron, | ,     Stars:, Shailene Woodley, , Ben Mendelsohn, , Jovan Adepo, , Ralph Ineson",Baltimore. New Year's Eve. A talented but troubled police officer (Shailene Woodley) is recruited by the FBI's chief investigator (Ben Mendelsohn) to help profile and track down a disturbed individual terrorizing the city.,6.5,119 min,R,11366,
Missing,tt10855768,2023,"Drama, Mystery, Thriller","Directors:, Nicholas D. Johnson, , Will Merrick, | ,     Stars:, Tim Griffin, , Ava Zaria Lee, , Nia Long, , Kimberly Cheng","After her mother goes missing, a young woman tries to find her from home, using tools available to her online.",7.1,111 min,PG-13,35372,
Law & Order: Special Victims Unit,tt0203259,1999– ,"Crime, Drama, Mystery","Stars:, Mariska Hargitay, , Christopher Meloni, , Ice-T, , Dann Florek","This series follows the Special Victims Unit, a specially trained squad of detectives in the New York City Police Department that investigate sexually related crimes.",8.1,60 min,TV-14,114655,
NCIS,tt0364845,2003– ,"Action, Crime, Drama","Stars:, David McCallum, , Sean Murray, , Mark Harmon, , Brian Dietzen","The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team.",7.8,60 min,TV-14,154592,
True Detective,tt2356777,2014– ,"Crime, Drama, Mystery","Stars:, Vince Vaughn, , Colin Farrell, , Rachel McAdams, , Taylor Kitsch","Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",8.9,55 min,TV-MA,596182,
X,tt13560574,II) (2022,"Horror, Mystery, Thriller","Director:, Ti West, | ,     Stars:, Mia Goth, , Jenna Ortega, , Brittany Snow, , Kid Cudi","In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",6.6,105 min,R,131619,
Kandahar,tt5761544,2023,"Action, Thriller","Director:, Ric Roman Waugh, | ,     Stars:, Gerard Butler, , Navid Negahban, , Ali Fazal, , Bahador Foladi",A CIA operative and his translator flee from special forces in Afghanistan after exposing a covert mission.,6.2,119 min,R,1734,
Old,tt10954652,2021,"Drama, Horror, Mystery","Director:, M. Night Shyamalan, | ,     Stars:, Gael García Bernal, , Vicky Krieps, , Rufus Sewell, , Alex Wolff","A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.",5.8,108 min,PG-13,137472,"48,276,510"
Criminal Minds,tt0452046,2005– ,"Crime, Drama, Mystery","Stars:, Kirsten Vangsness, , Matthew Gray Gubler, , A.J. Cook, , Joe Mantegna",A group of criminal profilers who work for the FBI as members of its Behavioral Analysis Unit (BAU) using behavioral analysis and profiling to help investigate crimes and find the suspect known as the unsub.,8.1,42 min,TV-14,207989,
Anatomy of a Fall,tt17009710,2023,"Crime, Drama, Thriller","Director:, Justine Triet, | ,     Stars:, Sandra Hüller, , Swann Arlaud, , Milo Machado Graner, , Antoine Reinartz","A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the sole witness.",7.6,150 min,,195,
The Clearing,tt20259432,2023– ,"Drama, Mystery, Thriller","Stars:, Teresa Palmer, , Guy Pearce, , Erroll Shand, , Anna Lise Phillips",A woman is forced to confront the nightmares of her past in order to stop a secret cult intent on gathering children to fulfil its master plan.,6.3,,Not Rated,574,
Fear the Walking Dead,tt3743822,2015–2023,"Drama, Horror, Sci-Fi","Stars:, Kim Dickens, , Frank Dillane, , Cliff Curtis, , Rubén Blades","A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.",6.8,44 min,TV-MA,135236,
F9: The Fast Saga,tt5433138,2021,"Action, Crime, Thriller","Director:, Justin Lin, | ,     Stars:, Vin Diesel, , Michelle Rodriguez, , Jordana Brewster, , Tyrese Gibson",Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,5.2,143 min,PG-13,147693,"173,202,780"
Scream VI,tt17663992,2023,"Horror, Mystery, Thriller","Directors:, Matt Bettinelli-Olpin, , Tyler Gillett, | ,     Stars:, Courteney Cox, , Melissa Barrera, , Jenna Ortega, , Jasmin Savoy Brown","In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.",6.6,122 min,R,79499,
The Wire,tt0306414,2002–2008,"Crime, Drama, Thriller","Stars:, Dominic West, , Lance Reddick, , Sonja Sohn, , Wendell Pierce","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",9.3,59 min,TV-MA,353521,
Lost,tt0411008,2004–2010,"Adventure, Drama, Fantasy","Stars:, Jorge Garcia, , Josh Holloway, , Yunjin Kim, , Evangeline Lilly",The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,8.3,44 min,TV-14,568798,
Severance,tt11280740,2022– ,"Drama, Mystery, Sci-Fi","Stars:, Adam Scott, , Zach Cherry, , Britt Lower, , Tramell Tillman","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.",8.7,55 min,TV-MA,154932,
Influencer,tt13309170,II) (2022,"Horror, Mystery, Thriller","Director:, Kurtis David Harder, | ,     Stars:, Emily Tennant, , Rory J Saper, , Cassandra Naud, , Justin Sams","While struggling on a solo backpacking trip in Thailand, social media influencer Madison meets CW, who travels with ease and shows her a more uninhibited way of living, but CW's interest in her takes a darker turn.",6.0,92 min,,2280,
The Last Thing He Told Me,tt13745850,2023,"Drama, Mystery, Thriller","Stars:, Jennifer Garner, , Nikolaj Coster-Waldau, , Angourie Rice, , Aisha Tyler",A woman forms an unexpected relationship with her 16-year-old stepdaughter while searching for the truth about why her husband has mysteriously disappeared.,6.6,275 min,TV-MA,8467,
Inside Man,tt10948716,II) (2022,"Crime, Drama, Mystery","Stars:, David Tennant, , Stanley Tucci, , Dolly Wells, , Lydia West","A prisoner on death row in the US and a woman trapped in a cellar under an English vicarage, cross paths in the most unexpected way.",6.6,240 min,TV-MA,29601,
Mayans M.C.,tt5715524,2018– ,"Crime, Drama, Thriller","Stars:, Michael Irby, , Frankie Loyal, , JD Pardo, , Clayton Cardenas","Set in a post-Jax Teller world, ""Mayans MC"" sees EZ Reyes, a former golden boy now fresh out of prison, as a prospect in the Mayan MC charter on the California-Mexico border who must carve out his new outlaw identity.",7.6,60 min,TV-MA,20661,
Reacher,tt9288030,2022– ,"Action, Crime, Drama","Stars:, Alan Ritchson, , Malcolm Goodwin, , Willa Fitzgerald, , Hugh Thompson",Jack Reacher was arrested for murder and now the police need his help. Based on the books by Lee Child.,8.1,49 min,TV-MA,140079,
65,tt12261776,2023,"Action, Adventure, Drama","Directors:, Scott Beck, , Bryan Woods, | ,     Stars:, Adam Driver, , Ariana Greenblatt, , Chloe Coleman, , Nika King",An astronaut crash lands on a mysterious planet only to discover he's not alone.,5.4,93 min,PG-13,47223,
Justified,tt1489428,2010–2015,"Action, Crime, Drama","Stars:, Timothy Olyphant, , Nick Searcy, , Joelle Carter, , Jacob Pitts","Enforcing his own brand of justice, US Marshal Raylan, a strong-willed, quiet law-man haunted by his past, returns to his native town to see that justice is served to those in need.",8.6,44 min,TV-MA,105686,
Happy Valley,tt3428912,2014–2023,"Crime, Drama, Thriller","Stars:, Sarah Lancashire, , Siobhan Finneran, , James Norton, , Rhys Connah",Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,8.5,58 min,TV-MA,55566,
9-1-1,tt7235466,2018– ,"Action, Drama, Thriller","Stars:, Angela Bassett, , Peter Krause, , Oliver Stark, , Aisha Hinds","Explores the high-pressure experiences of the first responders who are thrust into the most frightening, shocking, and heart-stopping situations.",7.9,43 min,TV-14,39473,
Banshee,tt2017109,2013–2016,"Action, Crime, Drama","Stars:, Antony Starr, , Ivana Milicevic, , Ulrich Thomsen, , Frankie Faison","An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania, where he has some unfinished business.",8.4,60 min,TV-MA,110358,
The Pope's Exorcist,tt13375076,2023,"Horror, Thriller","Director:, Julius Avery, | ,     Stars:, Russell Crowe, , Daniel Zovatto, , Alex Essoe, , Franco Nero","Follow Gabriele Amorth, the Vatican's leading exorcist, as he investigates the possession of a child and uncovers a conspiracy the Vatican has tried to keep secret.",6.1,103 min,R,37259,
John Wick,tt2911666,2014,"Action, Crime, Thriller","Directors:, Chad Stahelski, , David Leitch, | ,     Stars:, Keanu Reeves, , Michael Nyqvist, , Alfie Allen, , Willem Dafoe",An ex-hitman comes out of retirement to track down the gangsters who killed his dog and stole his car.,7.4,101 min,R,696172,"43,037,835"
Bullet Train,tt12593682,2022,"Action, Comedy, Thriller","Director:, David Leitch, | ,     Stars:, Brad Pitt, , Joey King, , Aaron Taylor-Johnson, , Brian Tyree Henry",Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,7.3,127 min,R,361452,"103,368,602"
Girl in the Basement,tt13269536,2021,"Crime, Thriller","Director:, Elisabeth Röhm, | ,     Stars:, Judd Nelson, , Stefanie Scott, , Joely Fisher, , Emma Myers","Sarah is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home.",6.3,88 min,TV-14,10341,
The Fast and the Furious,tt0232500,2001,"Action, Crime, Thriller","Director:, Rob Cohen, | ,     Stars:, Vin Diesel, , Paul Walker, , Michelle Rodriguez, , Jordana Brewster",Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.,6.8,106 min,PG-13,400760,"144,533,925"
American Horror Story,tt1844624,2011– ,"Drama, Horror, Sci-Fi","Stars:, Lady Gaga, , Kathy Bates, , Angela Bassett, , Sarah Paulson","An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, a bleak beach town and desert valley, and NYC.",8.0,60 min,TV-MA,327586,
The Menu,tt9764362,2022,"Comedy, Horror, Thriller","Director:, Mark Mylod, | ,     Stars:, Ralph Fiennes, , Anya Taylor-Joy, , Nicholas Hoult, , Hong Chau","A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",7.2,107 min,R,319985,
Cocaine Bear,tt14209916,2023,"Comedy, Thriller","Director:, Elizabeth Banks, | ,     Stars:, Keri Russell, , Alden Ehrenreich, , O'Shea Jackson Jr., , Ray Liotta","An oddball group of cops, criminals, tourists and teens converge on a Georgia forest where a huge black bear goes on a murderous rampage after unintentionally ingesting cocaine.",6.0,95 min,R,73215,
Muted,tt20477492,2023,"Crime, Drama, Mystery","Stars:, Arón Piper, , Almudena Amor, , Cristina Kovani, , Aitor Luna","Sergio hasn't spoken since the day he murdered his parents. Six years later, a teen girl may be the key to revealing the whole story.",5.6,,TV-MA,2636,
Rabbit Hole,tt5822112,2023– ,"Action, Drama, Thriller","Stars:, Kiefer Sutherland, , Meta Golding, , Enid Graham, , Rob Yang","John Weir, a private espionage operative, battles over the preservation of democracy in a world constantly at odds.",7.5,88 min,TV-MA,12938,
You,tt7335184,2018–2024,"Crime, Drama, Romance","Stars:, Penn Badgley, , Victoria Pedretti, , Tati Gabrielle, , Ambyr Childers","A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",7.7,45 min,TV-MA,279293,
Law & Order,tt0098844,1990– ,"Crime, Drama, Mystery","Stars:, Jerry Orbach, , Jesse L. Martin, , Dennis Farina, , Sam Waterston",A crime is tracked from two separate vantage points: the police investigation and the prosecution in court.,7.8,45 min,TV-14,41271,
Operation Fortune: Ruse de Guerre,tt7985704,2023,"Action, Comedy, Thriller","Director:, Guy Ritchie, | ,     Stars:, Jason Statham, , Aubrey Plaza, , Cary Elwes, , Hugh Grant",Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,6.3,114 min,R,57090,
Malum,tt9472334,2023,"Drama, Horror, Thriller","Director:, Anthony DiBlasi, | ,     Stars:, Jessica Sula, , Natalie Victoria, , Sam Brooks, , Candice Coke",A rookie police officer willingly takes the last shift at a newly decommissioned police station in an attempt to uncover the mysterious connection between her father's death and a vicious cult.,5.2,92 min,,1655,
Fargo,tt2802850,2014–2023,"Crime, Drama, Thriller","Stars:, Billy Bob Thornton, , Martin Freeman, , Allison Tolman, , Colin Hanks","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",8.9,53 min,TV-MA,383912,
Pearl,tt18925334,2022,"Drama, Horror, Thriller","Director:, Ti West, | ,     Stars:, Mia Goth, , David Corenswet, , Tandi Wright, , Matthew Sunderland","In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation and lovelessness of life on her parents' farm.",7.0,103 min,R,59480,
The Days,tt22074484,2023,"Drama, History, Thriller","Stars:, Kôji Yakusho, , Oji Suzuka, , Kaoru Kobayashi, , Yuriko Ishida","Blamed by some, hailed as heroes by others, those involved with Fukushima Daiichi face a deadly, invisible threat an unprecedented nuclear disaster.",7.3,60 min,TV-14,1081,
The X-Files,tt0106179,1993–2018,"Crime, Drama, Mystery","Stars:, David Duchovny, , Gillian Anderson, , Mitch Pileggi, , William B. Davis","Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",8.6,45 min,TV-14,234743,
The Batman,tt1877830,2022,"Action, Crime, Drama","Director:, Matt Reeves, | ,     Stars:, Robert Pattinson, , Zoë Kravitz, , Jeffrey Wright, , Colin Farrell","When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",7.8,176 min,PG-13,701495,"369,345,583"
Blue Bloods,tt1595859,2010– ,"Crime, Drama, Mystery","Stars:, Donnie Wahlberg, , Bridget Moynahan, , Will Estes, , Len Cariou",Revolves around a family of New York cops.,7.7,43 min,TV-14,43595,
Fall,tt15325794,I) (2022,Thriller,"Director:, Scott Mann, | ,     Stars:, Grace Caroline Currey, , Virginia Gardner, , Mason Gooding, , Jeffrey Dean Morgan","Best friends Becky and Hunter find themselves at the top of a 2,000-foot radio tower.",6.4,107 min,PG-13,83738,
Candy,tt13729648,2022,"Biography, Crime, Drama","Stars:, Jessica Biel, , Melanie Lynskey, , Pablo Schreiber, , Timothy Simons","Candy Montgomery is a 1980s housewife and mother who did everything right. When the pressure of conformity builds within, her actions scream for just a bit of freedom -- until someone tells her to shush -- with deadly results.",7.2,257 min,TV-MA,20328,
Nefarious,tt14537248,II) (2023,"Horror, Thriller","Directors:, Chuck Konzelman, , Cary Solomon, | ,     Stars:, Sean Patrick Flanery, , Jordan Belfi, , James Healy Jr., , Robert Peters","On the day of his scheduled execution, a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon, and further claims that before their time is over, the psychiatrist will commit three murders of his own.",6.5,97 min,R,4891,
Sons of Anarchy,tt1124373,2008–2014,"Crime, Drama, Thriller","Stars:, Charlie Hunnam, , Katey Sagal, , Mark Boone Junior, , Kim Coates",A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,8.6,45 min,TV-MA,307423,
Inception,tt1375666,2010,"Action, Adventure, Sci-Fi","Director:, Christopher Nolan, | ,     Stars:, Leonardo DiCaprio, , Joseph Gordon-Levitt, , Elliot Page, , Ken Watanabe","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",8.8,148 min,PG-13,2415500,"292,576,195"
Mother's Day,tt19724192,2023,"Action, Drama, Thriller","Director:, Mateusz Rakowicz, | ,     Stars:, Agnieszka Grochowska, , Adrian Delikta, , Dariusz Chojnacki, , Paulina Chrusciel","Nina, a secretive ex-NATO Special Operations agent, must use all her lethal skills to save her son who has been kidnapped by ruthless gangsters. Finding Max is a double chance for her. A ...                See full summary »",5.3,94 min,TV-MA,1472,
Death in Paradise,tt1888075,2011– ,"Comedy, Crime, Drama","Stars:, Elizabeth Bourgine, , Don Warrington, , Danny John-Jules, , Tobi Bakare",A Detective Inspector is transferred from London to the Caribbean island of Saint-Marie to investigate and solve complex murders.,7.8,60 min,TV-PG,24304,
The Dark Knight,tt0468569,2008,"Action, Crime, Drama","Director:, Christopher Nolan, | ,     Stars:, Christian Bale, , Heath Ledger, , Aaron Eckhart, , Michael Caine","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9.0,152 min,PG-13,2721301,"534,858,444"
Asur: Welcome to Your Dark Side,tt11912196,2020– ,"Crime, Drama, Mystery","Stars:, Arshad Warsi, , Barun Sobti, , Riddhi Dogra, , Anupriya Goenka","Shubh returns for revenge and this season he takes the challenge to a whole new level. With the heroes fallen apart, will a desolate Dhananjay Rajpoot and a torn Nikhil Nair be able to stop him?",8.5,43 min,,48315,
Class of '09,tt14903834,2023,"Crime, Drama, Thriller","Stars:, Brian Tyree Henry, , Brian J. Smith, , Isaiah Stratton, , Phil Armijo",FBI agents who graduated from Quantico in 2009 are reunited following the death of a mutual friend.,6.4,,TV-MA,1452,
The Vampire Diaries,tt1405406,2009–2017,"Drama, Fantasy, Horror","Stars:, Nina Dobrev, , Paul Wesley, , Ian Somerhalder, , Kat Graham","The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.",7.7,43 min,TV-14,331859,
Midsommar,tt8772262,2019,"Drama, Horror, Mystery","Director:, Ari Aster, | ,     Stars:, Florence Pugh, , Jack Reynor, , Vilhelm Blomgren, , William Jackson Harper",A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,7.1,148 min,R,352854,"27,331,977"
