Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Saga of Sonora,tt0396197,1973 TV Movie,"Comedy, Musical, Western","Director:, Marty Pasetta, | ,     Stars:, Vince Edwards, , Don Adams, , Jill St. John, , Zero Mostel","TV special which starred Vince Edwards as a hero who must stop gold-greedy villains, Jill St. John and Zero Mostel, and prove his love to his girl Lesley Ann Warren. This was a TV special ...                See full summary »",7.5,48 min,,16,
Toby Keith: Bullets in the Gun,tt5931886,2010 Music Video,"Action, Crime, Music","Director:, Michael Salomon, | ,     Stars:, Chad Bannon, , Toby Keith, , Francisco Ovalle, , Danielle Vasinova","The music video of Toby Keith's hit song ""Bullets in the Gun"".",6.5,4 min,,9,
Undercover Man,tt0035487,1942,"Drama, Western","Director:, Lesley Selander, | ,     Stars:, William Boyd, , Andy Clyde, , Jay Kirby, , Antonio Moreno",A bandit who robs both Americans and Mexicans is causing each side of the border to blame the other. Hoppy has to settle matters.,6.4,68 min,Passed,169,
On the Border,tt0021208,1930,"Drama, Family, Western","Director:, William C. McGann, | ,     Stars:, Rin Tin Tin, , Armida, , John Litel, , Philo McCullough","Farrell is taking advantage of the proximity of the rancho of Don Jose to the Mexican border by smuggling Chinese across the line into the United States. Dave, a border patrol officer ...                See full summary »",7.4,46 min,Passed,20,
Zorro: A Conspiracy of Blood,tt6709574,1996 Video,"Action, Adventure, Drama","Director:, Ray Austin, | ,     Stars:, Duncan Regehr, , Patrice Martinez, , James Victor, , J.G. Hertzler","Contains the final four episodes from the fourth season New World Zorro series under the name ""A Conspiracy of Blood.""",8.8,90 min,,7,
Fighting Pioneers,tt0026354,1935,"Action, Adventure, Drama","Director:, Harry L. Fraser, | ,     Stars:, Rex Bell, , Ruth Mix, , Buzz Barton, , Stanley Blystone","Driving off an Indian attack, the soldiers capture one of the Indian rifles only to learn that it came from their own warehouse. With Lieutenant Bentley and Sergeant Luke having the only ...                See full summary »",6.5,54 min,Approved,22,
Blutsbrüder,tt0072717,1975,"Western, Drama","Director:, Werner W. Wallroth, | ,     Stars:, Dean Reed, , Gojko Mitic, , Gisela Freudenberg, , Jörg Panknin","1864, Sand Creek, Co. When an army detail massacres men, women and children of a Cheyenne village a disgusted soldier called Harmonica deserts his post, befriends and lives with the Cheyenne, joining their fight as the army raids continue.",5.3,100 min,,240,
Billy the Kid's Round-Up,tt0033395,1941,"Drama, Western","Director:, Sam Newfield, | ,     Stars:, Buster Crabbe, , Al St. John, , Carleton Young, , Joan Barclay","When Sheriff Hanley sends for Billy and his pals, they arrive to find him murdered and Ed Slade temporary Sheriff. When henchman try to wreck the newpaper they take up the fight. First they...                See full summary »",5.4,60 min,Approved,33,
Redskin Blues,tt0152162,1932,"Animation, Short, Comedy","Directors:, John Foster, , Vernon Stallings","Tom and Jerry find their wagon west attacked by Indians, but escape only after being rescued by all the branches of the military, including the Army's tanks.",5.8,7 min,,77,
El coyote,tt1230122,1957 TV Movie,Western,"Directors:, Ken Murray, , Richard Talmadge, | ,     Stars:, George Brent, , Muriel Grossfeld, , Billy Gilbert, , Paul Richards",The teen-aged daughter of a crusading newspaper editor dons the mask of El Coyote to help end a gunman's land grab scheme.,5.6,27 min,,8,
Night Blind,tt1543567,2010,"Short, Drama, Thriller","Director:, Robert Parks, | ,     Stars:, Tony Doupe, , Michael Downey, , Sean Griffin, , Susan Jonsson","In the sleepy town of Clearwater, Sheriff Jack Carter tries to solve the murder of the local reverend but as he pursues the suspects, Jack struggles with the secrets he learns and confronts the monster he can become.",6.7,15 min,,12,
Captive of Billy the Kid,tt0044478,1952,"Drama, Western","Director:, Fred C. Brannon, | ,     Stars:, Allan Lane, , Black Jack, , Penny Edwards, , Grant Withers","Five people have a part of a map leading to Billy the Kid's treasure. When one of them is killed, Rocky Lane has a plan to find the killer.",6.0,54 min,Passed,33,
Scalp Trouble,tt0031899,1939,"Animation, Family, Short","Director:, Robert Clampett, | ,     Star:, Mel Blanc","General Daffy Duck's fort is plagued by Indian raids. After struggling to awaken Porky Pig for his turn at guard duty, Daffy is terrified by an onslaught of Indians. The day seems lost, ...                See full summary »",6.6,7 min,,190,
Greater Love Hath No Man,tt0233824,1911,"Short, Drama, Romance","Directors:, Alexander Butler, , Alice Guy, | ,     Stars:, Romaine Fielding, , Vinnie Burns, , Ed Brady","In the eastern part of New Mexico is locate the little mining town of Gatlach. There, however, we find an active mining camp dependent largely upon the famous Gatlach mine for its existence...                See full summary »",6.3,18 min,,86,
Riders of Vengeance,tt0010629,1919,Western,"Director:, John Ford, | ,     Stars:, Harry Carey, , Seena Owen, , Joe Harris, , J. Farrell MacDonald","Harry's bride is murdered at their wedding along with Harry's mother and father, and the good-hearted outlaw turns grimly malevolent.",3.5,60 min,,49,
Jaguar,tt0057257,1963,Western,"Director:, Jesús Franco, | ,     Stars:, José Suárez, , Sylvia Sorrente, , Todd Martin, , Manuel Zarzo","When Saltierra raids the hacienda of Colonel Mendoza only Mendoza's son Jose survives and manages to escape. Saltierra now rules the region but his actions are sabotaged by a group of revolutionaries commanded by their leader, ‚Jaguar.'",6.1,90 min,,56,
Gun Town,tt0038579,1946,Western,"Director:, Wallace Fox, | ,     Stars:, Kirby Grant, , Fuzzy Knight, , Lyle Talbot, , Claire Carleton",Indian Agent Kip Lewis arrives in Gun Town where Buckskin Sawyer is having her payroll shipments robbed by Indians. Kip and his men are ready the next time and learn the robbers are white ...                See full summary »,6.4,55 min,Approved,30,
